被投企业名称 ,资讯标题,简要,发布日期,SENTIMENT,来源,详细资讯,BUSI_TYPE,被投企业id
中兴通讯股份有限公司,天风证券-通信行业：中兴2020Q4业绩环比大幅改善，继续看好通信一季度行情-210123,"日期：2021-01-23 23:10:00研报出处：天风证券
1. 用户直接或通过各类方式间接使用慧博投研资讯所提供的服务和数据的行为，都将被视作已无条件接受本声明所涉全部内容；若用户对本声明的任何条款有异议，请停止使用慧博投研资讯所提供的全部服务。
2. 用户需知，研报资料由网友上传，所有权归上传网友所有，慧博投研资讯仅提供存放服务，慧博投研资讯不保证资料内容的合法性、正确性、完整性、真实性或品质；
",2021/01/23 23:10,负面信息,慧博,http://www.hibor.com.cn/data/d047efe3ff251a947b63dceb800ec09d.html,VC,9144030027939873X7
工商银行投资部,每经23点|黑龙江哈尔滨新增确诊病例3例,"每经23点 | 黑龙江哈尔滨新增确诊病例3例，新增无症状感染者11例；石家庄藁城区：红事暂缓白事从简，聚集活动一律禁止
据中国证券报统计，在北向资金本周加仓近百亿元的情况下，仍有不少个股遭遇北向资金减仓，其中不乏此前机构抱团的行业龙头股。
从市场表现来看，本周北向资金减仓股数前十个股中，南山铝业、工商银行、伊利股份等6只个股下跌，上汽集团跌幅最大，下跌8.29%；TCL科技、君正集团、格林美、特变电工上涨，特变电工涨幅最大，上涨23.90%。
通知要求，红事暂缓，白事从简。
",2021/01/23 22:58,中性信息,每经网,http://www.nbd.com.cn/articles/2021-01-23/1607809.html,VR,169c9c90a2b3c6bf6f2b1334528a5f4b
安信证券股份有限公司,安信证券-传媒行业：疫情反复，关注游戏、在线教育-210123,"日期：2021-01-23 22:51:44研报出处：安信证券
市场普遍预期1季度是游戏板块的业绩增速低谷，疫情反复有望带动业绩增速的回升，且2021年是游戏板块的新产品大年，关注板块整体受益及爆款新品的双重驱动。
在线教育正在重塑教育，尤其是K12教育的竞争格局。
",2021/01/23 22:54,负面信息,慧博,http://www.hibor.com.cn/data/836164a1792239400b0d36633a55cca8.html,VC,91440300792573957K
河南投资集团有限公司,剑指黄河大保护 河南将诞生一家国内环保龙头企业,"河南日报客户端记者 赵力文 通讯员 邹超
近期备受瞩目的城发环境重大资产重组揭开面纱。
党的十八大以来，生态文明建设被摆到了举足轻重的地位。
在业界看来，城发环境是环保行业的“一匹黑马”。
在环保产业大道上，一路奔跑的城发环境动作频频。
",2021/01/23 22:44,中性信息,百度,http://baijiahao.baidu.com/s?id=1689656208812128654,VC,914100001699542485
招商银行股份有限公司,广州所有银行已“停贷”？业内人士：没有贷款额度，申请房贷只有等,"今天有大V通过微博爆料称，“广州新政，个人住房贷款占所有贷款的比例不能超过2020年的全市平均水平。”
对此，红星资本局拨打了光大银行、招商银行、广发银行的电话。
最后，陈经理表示，“目前没有任何解决的办法，只能等待。
这在广东省住房政策研究中心首席研究员李宇嘉看来，其实早有预料。
李宇嘉告诉红星资本局，房地产金融宏观审慎管理是一个长效机制，需要长期做，目的为了减少资金流入地产规模。
",2021/01/23 22:43,负面信息,凤凰网,https://finance.ifeng.com/c/83H0OliJ486,VC,9144030010001686XA
中国电子科技集团有限公司,郑有炓院士荣获江苏省科学技术突出贡献奖，南大另获12奖项,"近日，江苏省人民政府网站发布《省政府关于2020年度江苏省科学技术奖励的决定》。
郑有炓，男，汉族，1935年10月出生于福建省大田县，1953-1957年就读南京大学，57年毕业于我国首届五校联合半导体专业，1984年被受国家委派参加首批中美凝聚态物理合作研究计划（1984-86）。
",2021/01/23 22:18,正面信息,杨子晚报,http://www.yzwb.net/zncontent/1136725.html,CR,91110000710929498G
中国电子科技集团公司,郑有炓院士荣获江苏省科学技术突出贡献奖，南大另获12奖项,"近日，江苏省人民政府网站发布《省政府关于2020年度江苏省科学技术奖励的决定》。
郑有炓，男，汉族，1935年10月出生于福建省大田县，1953-1957年就读南京大学，57年毕业于我国首届五校联合半导体专业，1984年被受国家委派参加首批中美凝聚态物理合作研究计划（1984-86）。
",2021/01/23 22:18,正面信息,杨子晚报,http://www.yzwb.net/zncontent/1136725.html,VR,8A782BFAC1C050E2E0532B89170A93B1
比亚迪股份有限公司,销量从巅峰跌到谷底，2021年北汽新能源的机会在哪里？,"近年来，新能源汽车在国内的火爆有目共睹的。
事实上，从技术层面来看，北汽新能源在网约车行业并不弱于比亚迪。
对于北汽新能源而言，销量疲软只是表象，骨子里需要改变的东西还很多。
事实上，依靠北汽集团和麦格纳集团的合力，ARCFOX αT的产品力并不弱于同行。
当然，从产品层面来说，仅靠ARCFOX αT一款车显然无法支撑极狐品牌的未来。
",2021/01/23 22:14,负面信息,汽车头条网,https://www.qctt.cn/news/917761,VC,91440300192317458F
北京小桔科技有限公司,销量从巅峰跌到谷底，2021年北汽新能源的机会在哪里？,"近年来，新能源汽车在国内的火爆有目共睹的。
事实上，从技术层面来看，北汽新能源在网约车行业并不弱于比亚迪。
对于北汽新能源而言，销量疲软只是表象，骨子里需要改变的东西还很多。
事实上，依靠北汽集团和麦格纳集团的合力，ARCFOX αT的产品力并不弱于同行。
当然，从产品层面来说，仅靠ARCFOX αT一款车显然无法支撑极狐品牌的未来。
",2021/01/23 22:14,负面信息,汽车头条网,https://www.qctt.cn/news/917761,CR,9111010859963405XW
联想（北京）有限公司,末流郑爽，顶流姚安娜，你是哪一流？,"本周由国内某知名女性牵扯出的各种“大瓜”，让围观群众们吃得好不过瘾。
除了事件本身足够博取眼球之下，这位女星与国际奢侈品牌Prada之间仅维持了“9天代言人”的合作，也迅速演绎成2021年公关界的首个“黑天鹅”事件。
说到底，车企要抓住“流量”，无非是要想方设法地迎合流量时代下催生的粉丝经济走向。
正如大众集团CEO迪斯在开通微博账号之后，本周也正式宣布登陆推特。
对于目前车圈“顶流”马斯克来说，其个人的社交媒体账号已然成为公司品牌资产的关键部分。
",2021/01/23 22:12,中性信息,汽车头条网,https://www.qctt.cn/news/917760,VC,91110108700000458B
安信证券股份有限公司,安信证券-有色金属行业2020Q4公募基金有色持仓分析：有色持仓显著提升，钴锂铜、新材料板块…,"安信证券-有色金属行业2020Q4公募基金有色持仓分析：有色持仓显著提升，钴锂铜、新材料板块获大幅增仓，黄金板块配置回落-210123
1. 用户直接或通过各类方式间接使用慧博投研资讯所提供的服务和数据的行为，都将被视作已无条件接受本声明所涉全部内容；若用户对本声明的任何条款有异议，请停止使用慧博投研资讯所提供的全部服务。
2. 用户需知，研报资料由网友上传，所有权归上传网友所有，慧博投研资讯仅提供存放服务，慧博投研资讯不保证资料内容的合法性、正确性、完整性、真实性或品质；
",2021/01/23 22:05,中性信息,慧博,http://www.hibor.com.cn/data/660aca495031fa15afb08de13d163cdc.html,VC,91440300792573957K
中国工商银行股份有限公司总行投行部,专题研究丨2020年不良类ABS市场总结,"来源：REITs行业研究
2020年不良ABS发行单数与规模均实现显著增长，且自年初疫情爆发以来一跃成为受关注最多的债券品种。
全市场来看，截至2020年底，信贷ABS共发行184单，规模共计8,041.90亿，同比明显下滑。
对公类不良则是在经历去年的发行空白后重新兴起，共发行8单，发行金额59.55亿元，其中包含两单小微企业不良ABS。
从交易情况来看，不良ABS全年现券交易量为154.31亿元，同比增长69.83%，继续保持增长势头。
",2021/01/23 22:05,中性信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0050204.shtml,VR,876AD13F60EB1CFAE0532B89170AC4E7
中国工商银行,专题研究丨2020年不良类ABS市场总结,"来源：REITs行业研究
2020年不良ABS发行单数与规模均实现显著增长，且自年初疫情爆发以来一跃成为受关注最多的债券品种。
全市场来看，截至2020年底，信贷ABS共发行184单，规模共计8,041.90亿，同比明显下滑。
对公类不良则是在经历去年的发行空白后重新兴起，共发行8单，发行金额59.55亿元，其中包含两单小微企业不良ABS。
从交易情况来看，不良ABS全年现券交易量为154.31亿元，同比增长69.83%，继续保持增长势头。
",2021/01/23 22:05,中性信息,新浪网,https://finance.sina.com.cn/money/fund/fundzmt/2021-01-23/doc-ikftssap0050204.shtml,VR,9851441AFBE08E43E0532B89170AF414
